"Statistic","Year","County","School Programme","UNIT","VALUE"
"Pupils in National Schools","2011","Donegal","Pupils with special needs in mainstream national schools","Number","252"
"Pupils in National Schools","2011","Donegal","Pupils in special national schools","Number","109"
"Pupils in National Schools","2011","Monaghan","All first level school programmes","Number","6931"
"Pupils in National Schools","2011","Monaghan","All mainstream national school programmes","Number","6802"
"Pupils in National Schools","2011","Monaghan","Pupils with special needs in mainstream national schools","Number","117"
"Pupils in National Schools","2011","Monaghan","Pupils in special national schools","Number","12"
"Pupils in National Schools","2012","All Counties","All first level school programmes","Number","516458"
"Pupils in National Schools","2012","All Counties","All mainstream national school programmes","Number","506216"
"Pupils in National Schools","2012","All Counties","Pupils with special needs in mainstream national schools","Number","2822"
"Pupils in National Schools","2012","All Counties","Pupils in special national schools","Number","7420"
"Pupils in National Schools","2012","Carlow","All first level school programmes","Number","7126"
"Pupils in National Schools","2012","Carlow","All mainstream national school programmes","Number","6948"
"Pupils in National Schools","2012","Carlow","Pupils with special needs in mainstream national schools","Number","17"
"Pupils in National Schools","2012","Carlow","Pupils in special national schools","Number","161"
"Pupils in National Schools","2012","Dublin City","All first level school programmes","Number","43367"
"Pupils in National Schools","2012","Dublin City","All mainstream national school programmes","Number","41398"
"Pupils in National Schools","2012","Dublin City","Pupils with special needs in mainstream national schools","Number","306"
"Pupils in National Schools","2012","Dublin City","Pupils in special national schools","Number","1663"
"Pupils in National Schools","2012","South Dublin","All first level school programmes","Number","31963"
"Pupils in National Schools","2012","South Dublin","All mainstream national school programmes","Number","31237"
"Pupils in National Schools","2012","South Dublin","Pupils with special needs in mainstream national schools","Number","303"
"Pupils in National Schools","2012","South Dublin","Pupils in special national schools","Number","423"
"Pupils in National Schools","2012","Fingal","All first level school programmes","Number","32814"
"Pupils in National Schools","2012","Fingal","All mainstream national school programmes","Number","32506"
"Pupils in National Schools","2012","Fingal","Pupils with special needs in mainstream national schools","Number","163"
"Pupils in National Schools","2012","Fingal","Pupils in special national schools","Number","145"
"Pupils in National Schools","2012","Dún Laoghaire-Rathdown","All first level school programmes","Number","17330"
"Pupils in National Schools","2012","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","16708"
"Pupils in National Schools","2012","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","68"
"Pupils in National Schools","2012","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","554"
"Pupils in National Schools","2012","Kildare","All first level school programmes","Number","27689"
"Pupils in National Schools","2012","Kildare","All mainstream national school programmes","Number","27296"
"Pupils in National Schools","2012","Kildare","Pupils with special needs in mainstream national schools","Number","181"
"Pupils in National Schools","2012","Kildare","Pupils in special national schools","Number","212"
"Pupils in National Schools","2012","Kilkenny","All first level school programmes","Number","10622"
"Pupils in National Schools","2012","Kilkenny","All mainstream national school programmes","Number","10348"
"Pupils in National Schools","2012","Kilkenny","Pupils with special needs in mainstream national schools","Number","34"
"Pupils in National Schools","2012","Kilkenny","Pupils in special national schools","Number","240"
"Pupils in National Schools","2012","Laois","All first level school programmes","Number","10118"
"Pupils in National Schools","2012","Laois","All mainstream national school programmes","Number","9977"
"Pupils in National Schools","2012","Laois","Pupils with special needs in mainstream national schools","Number","31"
"Pupils in National Schools","2012","Laois","Pupils in special national schools","Number","110"
